"","liczba_przypadkow","stan_rekordu_na","wojewodztwo"
"1381",265,"2021-02-12","lubelskie"
"1382",234,"2021-02-12","lubuskie"
"1383",311,"2021-02-12","łódzkie"
"1384",356,"2021-02-12","małopolskie"
"1385",1090,"2021-02-12","mazowieckie"
"1386",119,"2021-02-12","opolskie"
"1387",296,"2021-02-12","podkarpackie"
"1388",292,"2021-02-12","podlaskie"
"1389",576,"2021-02-12","pomorskie"
"1390",549,"2021-02-12","śląskie"
"1391",129,"2021-02-12","świętokrzyskie"
"1392",503,"2021-02-12","warmińsko-mazurskie"
"1393",495,"2021-02-12","wielkopolskie"
"1394",333,"2021-02-12","zachodniopomorskie"
"1395",5334,"2021-02-13","Cały kraj"
"1396",265,"2021-02-13","dolnośląskie"
"1397",403,"2021-02-13","kujawsko-pomorskie"
"1398",224,"2021-02-13","lubelskie"
"1399",215,"2021-02-13","lubuskie"
"1400",231,"2021-02-13","łódzkie"
"1401",212,"2021-02-13","małopolskie"
"1402",1001,"2021-02-13","mazowieckie"
"1403",102,"2021-02-13","opolskie"
"1404",208,"2021-02-13","podkarpackie"
"1405",146,"2021-02-13","podlaskie"
"1406",651,"2021-02-13","pomorskie"
"1407",502,"2021-02-13","śląskie"
"1408",98,"2021-02-13","świętokrzyskie"
"1409",221,"2021-02-13","warmińsko-mazurskie"
"1410",511,"2021-02-13","wielkopolskie"
"1411",214,"2021-02-13","zachodniopomorskie"
"1412",2543,"2021-02-14","Cały kraj"
"1413",167,"2021-02-14","dolnośląskie"
"1414",197,"2021-02-14","kujawsko-pomorskie"
"1415",61,"2021-02-14","lubelskie"
"1416",77,"2021-02-14","lubuskie"
"1417",74,"2021-02-14","łódzkie"
"1418",115,"2021-02-14","małopolskie"
"1419",473,"2021-02-14","mazowieckie"
"1420",40,"2021-02-14","opolskie"
"1421",211,"2021-02-14","podkarpackie"
"1422",59,"2021-02-14","podlaskie"
"1423",344,"2021-02-14","pomorskie"
"1424",146,"2021-02-14","śląskie"
"1425",59,"2021-02-14","świętokrzyskie"
"1426",140,"2021-02-14","warmińsko-mazurskie"
"1427",157,"2021-02-14","wielkopolskie"
"1428",111,"2021-02-14","zachodniopomorskie"
"1429",5178,"2021-02-15","Cały kraj"
"1430",258,"2021-02-15","dolnośląskie"
"1431",384,"2021-02-15","kujawsko-pomorskie"
"1432",254,"2021-02-15","lubelskie"
"1433",158,"2021-02-15","lubuskie"
"1434",355,"2021-02-15","łódzkie"
"1435",224,"2021-02-15","małopolskie"
"1436",824,"2021-02-15","mazowieckie"
"1437",49,"2021-02-15","opolskie"
"1438",279,"2021-02-15","podkarpackie"
"1439",198,"2021-02-15","podlaskie"
"1440",404,"2021-02-15","pomorskie"
"1441",342,"2021-02-15","śląskie"
"1442",73,"2021-02-15","świętokrzyskie"
"1443",616,"2021-02-15","warmińsko-mazurskie"
"1444",379,"2021-02-15","wielkopolskie"
"1445",245,"2021-02-15","zachodniopomorskie"
"1446",8694,"2021-02-16","Cały kraj"
"1447",432,"2021-02-16","dolnośląskie"
"1448",582,"2021-02-16","kujawsko-pomorskie"
"1449",359,"2021-02-16","lubelskie"
"1450",245,"2021-02-16","lubuskie"
"1451",478,"2021-02-16","łódzkie"
"1452",515,"2021-02-16","małopolskie"
"1453",1400,"2021-02-16","mazowieckie"
"1454",89,"2021-02-16","opolskie"
"1455",396,"2021-02-16","podkarpackie"
"1456",361,"2021-02-16","podlaskie"
"1457",683,"2021-02-16","pomorskie"
"1458",872,"2021-02-16","śląskie"
"1459",150,"2021-02-16","świętokrzyskie"
"1460",795,"2021-02-16","warmińsko-mazurskie"
"1461",770,"2021-02-16","wielkopolskie"
"1462",430,"2021-02-16","zachodniopomorskie"
"1463",9073,"2021-02-17","Cały kraj"
"1464",544,"2021-02-17","dolnośląskie"
"1465",762,"2021-02-17","kujawsko-pomorskie"
"1466",326,"2021-02-17","lubelskie"
"1467",384,"2021-02-17","lubuskie"
"1468",311,"2021-02-17","łódzkie"
"1469",427,"2021-02-17","małopolskie"
"1470",1633,"2021-02-17","mazowieckie"
"1471",160,"2021-02-17","opolskie"
"1472",487,"2021-02-17","podkarpackie"
"1473",265,"2021-02-17","podlaskie"
"1474",807,"2021-02-17","pomorskie"
"1475",725,"2021-02-17","śląskie"
"1476",201,"2021-02-17","świętokrzyskie"
"1477",774,"2021-02-17","warmińsko-mazurskie"
"1478",709,"2021-02-17","wielkopolskie"
"1479",428,"2021-02-17","zachodniopomorskie"
"1480",8777,"2021-02-18","Cały kraj"
"1481",554,"2021-02-18","dolnośląskie"
"1482",601,"2021-02-18","kujawsko-pomorskie"
"1483",328,"2021-02-18","lubelskie"
"1484",299,"2021-02-18","lubuskie"
"1485",495,"2021-02-18","łódzkie"
"1486",548,"2021-02-18","małopolskie"
"1487",1427,"2021-02-18","mazowieckie"
"1488",122,"2021-02-18","opolskie"
"1489",464,"2021-02-18","podkarpackie"
"1490",271,"2021-02-18","podlaskie"
"1491",787,"2021-02-18","pomorskie"
"1492",829,"2021-02-18","śląskie"
"1493",142,"2021-02-18","świętokrzyskie"
"1494",732,"2021-02-18","warmińsko-mazurskie"
"1495",676,"2021-02-18","wielkopolskie"
"1496",346,"2021-02-18","zachodniopomorskie"
"1497",8510,"2021-02-19","Cały kraj"
"1498",547,"2021-02-19","dolnośląskie"
"1499",535,"2021-02-19","kujawsko-pomorskie"
"1500",313,"2021-02-19","lubelskie"
"1501",267,"2021-02-19","lubuskie"
"1502",447,"2021-02-19","łódzkie"
"1503",493,"2021-02-19","małopolskie"
"1504",1393,"2021-02-19","mazowieckie"
"1505",133,"2021-02-19","opolskie"
"1506",461,"2021-02-19","podkarpackie"
"1507",315,"2021-02-19","podlaskie"
"1508",779,"2021-02-19","pomorskie"
"1509",818,"2021-02-19","śląskie"
"1510",159,"2021-02-19","świętokrzyskie"
"1511",736,"2021-02-19","warmińsko-mazurskie"
"1512",552,"2021-02-19","wielkopolskie"
"1513",373,"2021-02-19","zachodniopomorskie"
"1514",7038,"2021-02-20","Cały kraj"
"1515",420,"2021-02-20","dolnośląskie"
"1516",459,"2021-02-20","kujawsko-pomorskie"
"1517",290,"2021-02-20","lubelskie"
"1518",294,"2021-02-20","lubuskie"
"1519",264,"2021-02-20","łódzkie"
"1520",380,"2021-02-20","małopolskie"
"1521",1339,"2021-02-20","mazowieckie"
"1522",137,"2021-02-20","opolskie"
"1523",278,"2021-02-20","podkarpackie"
"1524",215,"2021-02-20","podlaskie"
"1525",727,"2021-02-20","pomorskie"
"1526",662,"2021-02-20","śląskie"
"1527",131,"2021-02-20","świętokrzyskie"
"1528",364,"2021-02-20","warmińsko-mazurskie"
"1529",673,"2021-02-20","wielkopolskie"
"1530",230,"2021-02-20","zachodniopomorskie"
"1531",3890,"2021-02-21","Cały kraj"
"1532",254,"2021-02-21","dolnośląskie"
"1533",217,"2021-02-21","kujawsko-pomorskie"
"1534",101,"2021-02-21","lubelskie"
"1535",204,"2021-02-21","lubuskie"
"1536",138,"2021-02-21","łódzkie"
"1537",234,"2021-02-21","małopolskie"
"1538",699,"2021-02-21","mazowieckie"
"1539",52,"2021-02-21","opolskie"
"1540",363,"2021-02-21","podkarpackie"
"1541",79,"2021-02-21","podlaskie"
"1542",545,"2021-02-21","pomorskie"
"1543",306,"2021-02-21","śląskie"
"1544",85,"2021-02-21","świętokrzyskie"
"1545",158,"2021-02-21","warmińsko-mazurskie"
"1546",217,"2021-02-21","wielkopolskie"
"1547",111,"2021-02-21","zachodniopomorskie"
"1548",6310,"2021-02-22","Cały kraj"
"1549",348,"2021-02-22","dolnośląskie"
"1550",453,"2021-02-22","kujawsko-pomorskie"
"1551",328,"2021-02-22","lubelskie"
"1552",145,"2021-02-22","lubuskie"
"1553",401,"2021-02-22","łódzkie"
"1554",293,"2021-02-22","małopolskie"
"1555",1028,"2021-02-22","mazowieckie"
"1556",73,"2021-02-22","opolskie"
"1557",253,"2021-02-22","podkarpackie"
"1558",193,"2021-02-22","podlaskie"
"1559",515,"2021-02-22","pomorskie"
"1560",461,"2021-02-22","śląskie"
"1561",119,"2021-02-22","świętokrzyskie"
"1562",725,"2021-02-22","warmińsko-mazurskie"
"1563",450,"2021-02-22","wielkopolskie"
"1564",330,"2021-02-22","zachodniopomorskie"
"1565",12146,"2021-02-23","Cały kraj"
"1566",642,"2021-02-23","dolnośląskie"
"1567",741,"2021-02-23","kujawsko-pomorskie"
"1568",451,"2021-02-23","lubelskie"
"1569",345,"2021-02-23","lubuskie"
"1570",639,"2021-02-23","łódzkie"
"1571",718,"2021-02-23","małopolskie"
"1572",1961,"2021-02-23","mazowieckie"
"1573",108,"2021-02-23","opolskie"
"1574",656,"2021-02-23","podkarpackie"
"1575",449,"2021-02-23","podlaskie"
"1576",1113,"2021-02-23","pomorskie"
"1577",1529,"2021-02-23","śląskie"
"1578",236,"2021-02-23","świętokrzyskie"
"1579",970,"2021-02-23","warmińsko-mazurskie"
"1580",962,"2021-02-23","wielkopolskie"
"1581",412,"2021-02-23","zachodniopomorskie"
"1582",12142,"2021-02-24","Cały kraj"
"1583",854,"2021-02-24","dolnośląskie"
"1584",859,"2021-02-24","kujawsko-pomorskie"
"1585",432,"2021-02-24","lubelskie"
"1586",441,"2021-02-24","lubuskie"
"1587",511,"2021-02-24","łódzkie"
"1588",752,"2021-02-24","małopolskie"
"1589",1984,"2021-02-24","mazowieckie"
"1590",212,"2021-02-24","opolskie"
"1591",779,"2021-02-24","podkarpackie"
"1592",403,"2021-02-24","podlaskie"
"1593",1112,"2021-02-24","pomorskie"
"1594",1173,"2021-02-24","śląskie"
"1595",319,"2021-02-24","świętokrzyskie"
"1596",810,"2021-02-24","warmińsko-mazurskie"
"1597",862,"2021-02-24","wielkopolskie"
"1598",461,"2021-02-24","zachodniopomorskie"
"1599",11539,"2021-02-25","Cały kraj"
"1600",849,"2021-02-25","dolnośląskie"
"1601",743,"2021-02-25","kujawsko-pomorskie"
"1602",406,"2021-02-25","lubelskie"
"1603",461,"2021-02-25","lubuskie"
"1604",512,"2021-02-25","łódzkie"
"1605",660,"2021-02-25","małopolskie"
"1606",2098,"2021-02-25","mazowieckie"
"1607",157,"2021-02-25","opolskie"
"1608",680,"2021-02-25","podkarpackie"
"1609",353,"2021-02-25","podlaskie"
"1610",1050,"2021-02-25","pomorskie"
"1611",1018,"2021-02-25","śląskie"
"1612",201,"2021-02-25","świętokrzyskie"
"1613",960,"2021-02-25","warmińsko-mazurskie"
"1614",806,"2021-02-25","wielkopolskie"
"1615",395,"2021-02-25","zachodniopomorskie"
"1616",12100,"2021-02-26","Cały kraj"
"1617",799,"2021-02-26","dolnośląskie"
"1618",708,"2021-02-26","kujawsko-pomorskie"
"1619",408,"2021-02-26","lubelskie"
"1620",383,"2021-02-26","lubuskie"
"1621",710,"2021-02-26","łódzkie"
"1622",629,"2021-02-26","małopolskie"
"1623",2272,"2021-02-26","mazowieckie"
"1624",120,"2021-02-26","opolskie"
"1625",684,"2021-02-26","podkarpackie"
"1626",327,"2021-02-26","podlaskie"
"1627",1050,"2021-02-26","pomorskie"
"1628",1272,"2021-02-26","śląskie"
"1629",269,"2021-02-26","świętokrzyskie"
"1630",943,"2021-02-26","warmińsko-mazurskie"
"1631",936,"2021-02-26","wielkopolskie"
"1632",455,"2021-02-26","zachodniopomorskie"
"1633",10099,"2021-02-27","Cały kraj"
"1634",662,"2021-02-27","dolnośląskie"
"1635",480,"2021-02-27","kujawsko-pomorskie"
"1636",326,"2021-02-27","lubelskie"
"1637",455,"2021-02-27","lubuskie"
"1638",368,"2021-02-27","łódzkie"
"1639",738,"2021-02-27","małopolskie"
"1640",2069,"2021-02-27","mazowieckie"
"1641",139,"2021-02-27","opolskie"
"1642",532,"2021-02-27","podkarpackie"
"1643",216,"2021-02-27","podlaskie"
"1644",943,"2021-02-27","pomorskie"
"1645",997,"2021-02-27","śląskie"
"1646",157,"2021-02-27","świętokrzyskie"
"1647",593,"2021-02-27","warmińsko-mazurskie"
"1648",934,"2021-02-27","wielkopolskie"
"1649",288,"2021-02-27","zachodniopomorskie"
"1650",4786,"2021-02-28","Cały kraj"
"1651",352,"2021-02-28","dolnośląskie"
"1652",336,"2021-02-28","kujawsko-pomorskie"
"1653",97,"2021-02-28","lubelskie"
"1654",117,"2021-02-28","lubuskie"
"1655",186,"2021-02-28","łódzkie"
"1656",282,"2021-02-28","małopolskie"
"1657",1051,"2021-02-28","mazowieckie"
"1658",84,"2021-02-28","opolskie"
"1659",335,"2021-02-28","podkarpackie"
"1660",104,"2021-02-28","podlaskie"
"1661",643,"2021-02-28","pomorskie"
"1662",373,"2021-02-28","śląskie"
"1663",180,"2021-02-28","świętokrzyskie"
"1664",197,"2021-02-28","warmińsko-mazurskie"
"1665",202,"2021-02-28","wielkopolskie"
"1666",139,"2021-02-28","zachodniopomorskie"
"1667",7937,"2021-03-01","Cały kraj"
"1668",434,"2021-03-01","dolnośląskie"
"1669",530,"2021-03-01","kujawsko-pomorskie"
"1670",371,"2021-03-01","lubelskie"
"1671",177,"2021-03-01","lubuskie"
"1672",444,"2021-03-01","łódzkie"
"1673",521,"2021-03-01","małopolskie"
"1674",1279,"2021-03-01","mazowieckie"
"1675",90,"2021-03-01","opolskie"
"1676",493,"2021-03-01","podkarpackie"
"1677",307,"2021-03-01","podlaskie"
"1678",600,"2021-03-01","pomorskie"
"1679",746,"2021-03-01","śląskie"
"1680",152,"2021-03-01","świętokrzyskie"
"1681",924,"2021-03-01","warmińsko-mazurskie"
"1682",474,"2021-03-01","wielkopolskie"
"1683",247,"2021-03-01","zachodniopomorskie"
"1684",15698,"2021-03-02","Cały kraj"
"1685",782,"2021-03-02","dolnośląskie"
"1686",949,"2021-03-02","kujawsko-pomorskie"
"1687",500,"2021-03-02","lubelskie"
"1688",387,"2021-03-02","lubuskie"
"1689",960,"2021-03-02","łódzkie"
"1690",1272,"2021-03-02","małopolskie"
"1691",2750,"2021-03-02","mazowieckie"
"1692",208,"2021-03-02","opolskie"
"1693",687,"2021-03-02","podkarpackie"
"1694",461,"2021-03-02","podlaskie"
"1695",1399,"2021-03-02","pomorskie"
"1696",1989,"2021-03-02","śląskie"
"1697",274,"2021-03-02","świętokrzyskie"
"1698",1132,"2021-03-02","warmińsko-mazurskie"
"1699",1212,"2021-03-02","wielkopolskie"
"1700",605,"2021-03-02","zachodniopomorskie"
"1701",15250,"2021-03-03","Cały kraj"
"1702",1174,"2021-03-03","dolnośląskie"
"1703",1049,"2021-03-03","kujawsko-pomorskie"
"1704",477,"2021-03-03","lubelskie"
"1705",490,"2021-03-03","lubuskie"
"1706",793,"2021-03-03","łódzkie"
"1707",953,"2021-03-03","małopolskie"
"1708",2563,"2021-03-03","mazowieckie"
"1709",266,"2021-03-03","opolskie"
"1710",941,"2021-03-03","podkarpackie"
"1711",438,"2021-03-03","podlaskie"
"1712",1337,"2021-03-03","pomorskie"
"1713",1620,"2021-03-03","śląskie"
"1714",381,"2021-03-03","świętokrzyskie"
"1715",831,"2021-03-03","warmińsko-mazurskie"
"1716",1251,"2021-03-03","wielkopolskie"
"1717",476,"2021-03-03","zachodniopomorskie"
"1718",15829,"2021-03-04","Cały kraj"
"1719",1093,"2021-03-04","dolnośląskie"
"1720",983,"2021-03-04","kujawsko-pomorskie"
"1721",450,"2021-03-04","lubelskie"
"1722",585,"2021-03-04","lubuskie"
"1723",700,"2021-03-04","łódzkie"
"1724",1015,"2021-03-04","małopolskie"
"1725",2910,"2021-03-04","mazowieckie"
"1726",227,"2021-03-04","opolskie"
"1727",1008,"2021-03-04","podkarpackie"
"1728",405,"2021-03-04","podlaskie"
"1729",1318,"2021-03-04","pomorskie"
"1730",1873,"2021-03-04","śląskie"
"1731",318,"2021-03-04","świętokrzyskie"
"1732",1083,"2021-03-04","warmińsko-mazurskie"
"1733",1138,"2021-03-04","wielkopolskie"
"1734",467,"2021-03-04","zachodniopomorskie"
"1735",14857,"2021-03-05","Cały kraj"
"1736",1233,"2021-03-05","dolnośląskie"
"1737",833,"2021-03-05","kujawsko-pomorskie"
"1738",429,"2021-03-05","lubelskie"
"1739",642,"2021-03-05","lubuskie"
"1740",737,"2021-03-05","łódzkie"
"1741",1062,"2021-03-05","małopolskie"
"1742",2504,"2021-03-05","mazowieckie"
"1743",198,"2021-03-05","opolskie"
"1744",811,"2021-03-05","podkarpackie"
"1745",448,"2021-03-05","podlaskie"
"1746",1303,"2021-03-05","pomorskie"
"1747",1536,"2021-03-05","śląskie"
"1748",268,"2021-03-05","świętokrzyskie"
"1749",1129,"2021-03-05","warmińsko-mazurskie"
"1750",962,"2021-03-05","wielkopolskie"
"1751",486,"2021-03-05","zachodniopomorskie"
"1752",13574,"2021-03-06","Cały kraj"
"1753",909,"2021-03-06","dolnośląskie"
"1754",696,"2021-03-06","kujawsko-pomorskie"
"1755",406,"2021-03-06","lubelskie"
"1756",476,"2021-03-06","lubuskie"
"1757",577,"2021-03-06","łódzkie"
"1758",997,"2021-03-06","małopolskie"
"1759",2807,"2021-03-06","mazowieckie"
"1760",240,"2021-03-06","opolskie"
"1761",718,"2021-03-06","podkarpackie"
"1762",253,"2021-03-06","podlaskie"
"1763",1098,"2021-03-06","pomorskie"
"1764",1596,"2021-03-06","śląskie"
"1765",263,"2021-03-06","świętokrzyskie"
"1766",706,"2021-03-06","warmińsko-mazurskie"
"1767",1198,"2021-03-06","wielkopolskie"
"1768",372,"2021-03-06","zachodniopomorskie"
"1769",6170,"2021-03-07","Cały kraj"
"1770",449,"2021-03-07","dolnośląskie"
"1771",299,"2021-03-07","kujawsko-pomorskie"
"1772",122,"2021-03-07","lubelskie"
"1773",308,"2021-03-07","lubuskie"
"1774",235,"2021-03-07","łódzkie"
"1775",499,"2021-03-07","małopolskie"
"1776",1289,"2021-03-07","mazowieckie"
"1777",122,"2021-03-07","opolskie"
"1778",431,"2021-03-07","podkarpackie"
"1779",86,"2021-03-07","podlaskie"
"1780",715,"2021-03-07","pomorskie"
"1781",520,"2021-03-07","śląskie"
"1782",128,"2021-03-07","świętokrzyskie"
"1783",202,"2021-03-07","warmińsko-mazurskie"
"1784",401,"2021-03-07","wielkopolskie"
"1785",188,"2021-03-07","zachodniopomorskie"
"1786",9954,"2021-03-08","Cały kraj"
"1787",681,"2021-03-08","dolnośląskie"
"1788",728,"2021-03-08","kujawsko-pomorskie"
"1789",512,"2021-03-08","lubelskie"
"1790",240,"2021-03-08","lubuskie"
"1791",621,"2021-03-08","łódzkie"
"1792",583,"2021-03-08","małopolskie"
"1793",1772,"2021-03-08","mazowieckie"
"1794",123,"2021-03-08","opolskie"
"1795",471,"2021-03-08","podkarpackie"
"1796",303,"2021-03-08","podlaskie"
"1797",613,"2021-03-08","pomorskie"
"1798",1061,"2021-03-08","śląskie"
"1799",240,"2021-03-08","świętokrzyskie"
"1800",835,"2021-03-08","warmińsko-mazurskie"
"1801",663,"2021-03-08","wielkopolskie"
"1802",289,"2021-03-08","zachodniopomorskie"
"1803",17260,"2021-03-09","Cały kraj"
"1804",1047,"2021-03-09","dolnośląskie"
"1805",946,"2021-03-09","kujawsko-pomorskie"
"1806",616,"2021-03-09","lubelskie"
"1807",413,"2021-03-09","lubuskie"
"1808",1022,"2021-03-09","łódzkie"
"1809",1497,"2021-03-09","małopolskie"
"1810",2596,"2021-03-09","mazowieckie"
"1811",250,"2021-03-09","opolskie"
"1812",976,"2021-03-09","podkarpackie"
"1813",518,"2021-03-09","podlaskie"
"1814",1207,"2021-03-09","pomorskie"
"1815",2452,"2021-03-09","śląskie"
"1816",338,"2021-03-09","świętokrzyskie"
"1817",1272,"2021-03-09","warmińsko-mazurskie"
"1818",1358,"2021-03-09","wielkopolskie"
"1819",478,"2021-03-09","zachodniopomorskie"
"1820",21045,"2021-03-10","Cały kraj"
"1821",1502,"2021-03-10","dolnośląskie"
"1822",1314,"2021-03-10","kujawsko-pomorskie"
"1823",601,"2021-03-10","lubelskie"
"1824",632,"2021-03-10","lubuskie"
"1825",1068,"2021-03-10","łódzkie"
"1826",1607,"2021-03-10","małopolskie"
"1827",3756,"2021-03-10","mazowieckie"
"1828",287,"2021-03-10","opolskie"
"1829",1255,"2021-03-10","podkarpackie"
"1830",450,"2021-03-10","podlaskie"
"1831",1704,"2021-03-10","pomorskie"
"1832",2597,"2021-03-10","śląskie"
"1833",567,"2021-03-10","świętokrzyskie"
"1834",999,"2021-03-10","warmińsko-mazurskie"
"1835",1670,"2021-03-10","wielkopolskie"
"1836",698,"2021-03-10","zachodniopomorskie"
"1837",18775,"2021-03-11","Cały kraj"
"1838",1407,"2021-03-11","dolnośląskie"
"1839",993,"2021-03-11","kujawsko-pomorskie"
"1840",618,"2021-03-11","lubelskie"
"1841",751,"2021-03-11","lubuskie"
"1842",868,"2021-03-11","łódzkie"
"1843",1336,"2021-03-11","małopolskie"
"1844",3073,"2021-03-11","mazowieckie"
"1845",360,"2021-03-11","opolskie"
"1846",1023,"2021-03-11","podkarpackie"
"1847",471,"2021-03-11","podlaskie"
"1848",1526,"2021-03-11","pomorskie"
"1849",2302,"2021-03-11","śląskie"
"1850",409,"2021-03-11","świętokrzyskie"
"1851",969,"2021-03-11","warmińsko-mazurskie"
"1852",1678,"2021-03-11","wielkopolskie"
"1853",702,"2021-03-11","zachodniopomorskie"
"1854",21049,"2021-03-12","Cały kraj"
"1855",1687,"2021-03-12","dolnośląskie"
"1856",1225,"2021-03-12","kujawsko-pomorskie"
"1857",667,"2021-03-12","lubelskie"
"1858",653,"2021-03-12","lubuskie"
"1859",1185,"2021-03-12","łódzkie"
"1860",1686,"2021-03-12","małopolskie"
"1861",3891,"2021-03-12","mazowieckie"
"1862",347,"2021-03-12","opolskie"
"1863",889,"2021-03-12","podkarpackie"
"1864",428,"2021-03-12","podlaskie"
"1865",1494,"2021-03-12","pomorskie"
"1866",2682,"2021-03-12","śląskie"
"1867",476,"2021-03-12","świętokrzyskie"
"1868",1115,"2021-03-12","warmińsko-mazurskie"
"1869",1828,"2021-03-12","wielkopolskie"
"1870",527,"2021-03-12","zachodniopomorskie"
"1871",17259,"2021-03-13","Cały kraj"
"1872",1263,"2021-03-13","dolnośląskie"
"1873",843,"2021-03-13","kujawsko-pomorskie"
"1874",438,"2021-03-13","lubelskie"
"1875",517,"2021-03-13","lubuskie"
"1876",782,"2021-03-13","łódzkie"
"1877",1379,"2021-03-13","małopolskie"
"1878",3430,"2021-03-13","mazowieckie"
"1879",294,"2021-03-13","opolskie"
"1880",1064,"2021-03-13","podkarpackie"
"1881",276,"2021-03-13","podlaskie"
"1882",1318,"2021-03-13","pomorskie"
"1883",2331,"2021-03-13","śląskie"
"1884",303,"2021-03-13","świętokrzyskie"
"1885",759,"2021-03-13","warmińsko-mazurskie"
"1886",1508,"2021-03-13","wielkopolskie"
"1887",447,"2021-03-13","zachodniopomorskie"
"1888",10896,"2021-03-14","Cały kraj"
"1889",939,"2021-03-14","dolnośląskie"
"1890",596,"2021-03-14","kujawsko-pomorskie"
"1891",139,"2021-03-14","lubelskie"
"1892",396,"2021-03-14","lubuskie"
"1893",460,"2021-03-14","łódzkie"
"1894",699,"2021-03-14","małopolskie"
"1895",2311,"2021-03-14","mazowieckie"
"1896",265,"2021-03-14","opolskie"
"1897",567,"2021-03-14","podkarpackie"
"1898",192,"2021-03-14","podlaskie"
"1899",1100,"2021-03-14","pomorskie"
"1900",1247,"2021-03-14","śląskie"
"1901",266,"2021-03-14","świętokrzyskie"
"1902",271,"2021-03-14","warmińsko-mazurskie"
"1903",871,"2021-03-14","wielkopolskie"
"1904",344,"2021-03-14","zachodniopomorskie"
"1905",14396,"2021-03-15","Cały kraj"
"1906",936,"2021-03-15","dolnośląskie"
"1907",972,"2021-03-15","kujawsko-pomorskie"
"1908",628,"2021-03-15","lubelskie"
"1909",288,"2021-03-15","lubuskie"
"1910",1064,"2021-03-15","łódzkie"
"1911",1044,"2021-03-15","małopolskie"
"1912",2347,"2021-03-15","mazowieckie"
"1913",168,"2021-03-15","opolskie"
"1914",785,"2021-03-15","podkarpackie"
"1915",304,"2021-03-15","podlaskie"
"1916",1030,"2021-03-15","pomorskie"
"1917",1716,"2021-03-15","śląskie"
"1918",373,"2021-03-15","świętokrzyskie"
"1919",1003,"2021-03-15","warmińsko-mazurskie"
"1920",954,"2021-03-15","wielkopolskie"
"1921",458,"2021-03-15","zachodniopomorskie"
"1922",25052,"2021-03-16","Cały kraj"
"1923",1672,"2021-03-16","dolnośląskie"
"1924",1275,"2021-03-16","kujawsko-pomorskie"
"1925",840,"2021-03-16","lubelskie"
"1926",698,"2021-03-16","lubuskie"
"1927",1466,"2021-03-16","łódzkie"
"1928",2050,"2021-03-16","małopolskie"
"1929",4142,"2021-03-16","mazowieckie"
"1930",357,"2021-03-16","opolskie"
"1931",1319,"2021-03-16","podkarpackie"
"1932",621,"2021-03-16","podlaskie"
"1933",1685,"2021-03-16","pomorskie"
"1934",4030,"2021-03-16","śląskie"
"1935",535,"2021-03-16","świętokrzyskie"
"1936",1097,"2021-03-16","warmińsko-mazurskie"
"1937",2034,"2021-03-16","wielkopolskie"
"1938",795,"2021-03-16","zachodniopomorskie"
"1939",27278,"2021-03-17","Cały kraj"
"1940",2371,"2021-03-17","dolnośląskie"
"1941",1734,"2021-03-17","kujawsko-pomorskie"
"1942",874,"2021-03-17","lubelskie"
"1943",672,"2021-03-17","lubuskie"
"1944",1349,"2021-03-17","łódzkie"
"1945",2192,"2021-03-17","małopolskie"
"1946",4408,"2021-03-17","mazowieckie"
"1947",637,"2021-03-17","opolskie"
"1948",1449,"2021-03-17","podkarpackie"
"1949",486,"2021-03-17","podlaskie"
"1950",1758,"2021-03-17","pomorskie"
"1951",3788,"2021-03-17","śląskie"
"1952",707,"2021-03-17","świętokrzyskie"
"1953",1109,"2021-03-17","warmińsko-mazurskie"
"1954",2493,"2021-03-17","wielkopolskie"
"1955",820,"2021-03-17","zachodniopomorskie"
"1956",25998,"2021-03-18","Cały kraj"
"1957",2144,"2021-03-18","dolnośląskie"
"1958",1567,"2021-03-18","kujawsko-pomorskie"
"1959",834,"2021-03-18","lubelskie"
"1960",747,"2021-03-18","lubuskie"
"1961",1360,"2021-03-18","łódzkie"
"1962",1914,"2021-03-18","małopolskie"
"1963",4219,"2021-03-18","mazowieckie"
"1964",564,"2021-03-18","opolskie"
"1965",1334,"2021-03-18","podkarpackie"
"1966",473,"2021-03-18","podlaskie"
"1967",1604,"2021-03-18","pomorskie"
"1968",3728,"2021-03-18","śląskie"
"1969",576,"2021-03-18","świętokrzyskie"
"1970",1002,"2021-03-18","warmińsko-mazurskie"
"1971",2643,"2021-03-18","wielkopolskie"
"1972",899,"2021-03-18","zachodniopomorskie"
"1973",26405,"2021-03-19","Cały kraj"
"1974",2226,"2021-03-19","dolnośląskie"
"1975",1489,"2021-03-19","kujawsko-pomorskie"
"1976",728,"2021-03-19","lubelskie"
"1977",773,"2021-03-19","lubuskie"
"1978",1419,"2021-03-19","łódzkie"
"1979",2138,"2021-03-19","małopolskie"
"1980",4166,"2021-03-19","mazowieckie"
"1981",472,"2021-03-19","opolskie"
"1982",1398,"2021-03-19","podkarpackie"
"1983",522,"2021-03-19","podlaskie"
"1984",1842,"2021-03-19","pomorskie"
"1985",3600,"2021-03-19","śląskie"
"1986",736,"2021-03-19","świętokrzyskie"
"1987",869,"2021-03-19","warmińsko-mazurskie"
"1988",2791,"2021-03-19","wielkopolskie"
"1989",864,"2021-03-19","zachodniopomorskie"
"1990",21849,"2021-03-20","Cały kraj"
"1991",1693,"2021-03-20","dolnośląskie"
"1992",1155,"2021-03-20","kujawsko-pomorskie"
"1993",633,"2021-03-20","lubelskie"
"1994",701,"2021-03-20","lubuskie"
"1995",1110,"2021-03-20","łódzkie"
