"","liczba_przypadkow","stan_rekordu_na","wojewodztwo"
"297",1728,"2020-12-10","mazowieckie"
"298",340,"2020-12-10","opolskie"
"299",261,"2020-12-10","podkarpackie"
"300",312,"2020-12-10","podlaskie"
"301",1148,"2020-12-10","pomorskie"
"302",1090,"2020-12-10","śląskie"
"303",219,"2020-12-10","świętokrzyskie"
"304",1201,"2020-12-10","warmińsko-mazurskie"
"305",1412,"2020-12-10","wielkopolskie"
"306",1120,"2020-12-10","zachodniopomorskie"
"307",11498,"2020-12-11","Cały kraj"
"308",703,"2020-12-11","dolnośląskie"
"309",1093,"2020-12-11","kujawsko-pomorskie"
"310",750,"2020-12-11","lubelskie"
"311",371,"2020-12-11","lubuskie"
"312",695,"2020-12-11","łódzkie"
"313",411,"2020-12-11","małopolskie"
"314",1529,"2020-12-11","mazowieckie"
"315",316,"2020-12-11","opolskie"
"316",525,"2020-12-11","podkarpackie"
"317",358,"2020-12-11","podlaskie"
"318",753,"2020-12-11","pomorskie"
"319",995,"2020-12-11","śląskie"
"320",188,"2020-12-11","świętokrzyskie"
"321",742,"2020-12-11","warmińsko-mazurskie"
"322",1039,"2020-12-11","wielkopolskie"
"323",976,"2020-12-11","zachodniopomorskie"
"324",8978,"2020-12-12","Cały kraj"
"325",507,"2020-12-12","dolnośląskie"
"326",768,"2020-12-12","kujawsko-pomorskie"
"327",378,"2020-12-12","lubelskie"
"328",302,"2020-12-12","lubuskie"
"329",576,"2020-12-12","łódzkie"
"330",316,"2020-12-12","małopolskie"
"331",1286,"2020-12-12","mazowieckie"
"332",131,"2020-12-12","opolskie"
"333",205,"2020-12-12","podkarpackie"
"334",233,"2020-12-12","podlaskie"
"335",1013,"2020-12-12","pomorskie"
"336",669,"2020-12-12","śląskie"
"337",134,"2020-12-12","świętokrzyskie"
"338",650,"2020-12-12","warmińsko-mazurskie"
"339",1138,"2020-12-12","wielkopolskie"
"340",600,"2020-12-12","zachodniopomorskie"
"341",4858,"2020-12-13","Cały kraj"
"342",266,"2020-12-13","dolnośląskie"
"343",545,"2020-12-13","kujawsko-pomorskie"
"344",177,"2020-12-13","lubelskie"
"345",210,"2020-12-13","lubuskie"
"346",195,"2020-12-13","łódzkie"
"347",149,"2020-12-13","małopolskie"
"348",730,"2020-12-13","mazowieckie"
"349",177,"2020-12-13","opolskie"
"350",180,"2020-12-13","podkarpackie"
"351",82,"2020-12-13","podlaskie"
"352",428,"2020-12-13","pomorskie"
"353",274,"2020-12-13","śląskie"
"354",109,"2020-12-13","świętokrzyskie"
"355",280,"2020-12-13","warmińsko-mazurskie"
"356",397,"2020-12-13","wielkopolskie"
"357",569,"2020-12-13","zachodniopomorskie"
"358",6908,"2020-12-14","Cały kraj"
"359",531,"2020-12-14","dolnośląskie"
"360",760,"2020-12-14","kujawsko-pomorskie"
"361",434,"2020-12-14","lubelskie"
"362",149,"2020-12-14","lubuskie"
"363",451,"2020-12-14","łódzkie"
"364",238,"2020-12-14","małopolskie"
"365",776,"2020-12-14","mazowieckie"
"366",128,"2020-12-14","opolskie"
"367",311,"2020-12-14","podkarpackie"
"368",172,"2020-12-14","podlaskie"
"369",505,"2020-12-14","pomorskie"
"370",611,"2020-12-14","śląskie"
"371",174,"2020-12-14","świętokrzyskie"
"372",579,"2020-12-14","warmińsko-mazurskie"
"373",646,"2020-12-14","wielkopolskie"
"374",336,"2020-12-14","zachodniopomorskie"
"375",12447,"2020-12-15","Cały kraj"
"376",634,"2020-12-15","dolnośląskie"
"377",1189,"2020-12-15","kujawsko-pomorskie"
"378",649,"2020-12-15","lubelskie"
"379",326,"2020-12-15","lubuskie"
"380",945,"2020-12-15","łódzkie"
"381",538,"2020-12-15","małopolskie"
"382",1467,"2020-12-15","mazowieckie"
"383",247,"2020-12-15","opolskie"
"384",323,"2020-12-15","podkarpackie"
"385",369,"2020-12-15","podlaskie"
"386",878,"2020-12-15","pomorskie"
"387",1338,"2020-12-15","śląskie"
"388",182,"2020-12-15","świętokrzyskie"
"389",822,"2020-12-15","warmińsko-mazurskie"
"390",1375,"2020-12-15","wielkopolskie"
"391",1071,"2020-12-15","zachodniopomorskie"
"392",11953,"2020-12-16","Cały kraj"
"393",685,"2020-12-16","dolnośląskie"
"394",1144,"2020-12-16","kujawsko-pomorskie"
"395",702,"2020-12-16","lubelskie"
"396",320,"2020-12-16","lubuskie"
"397",776,"2020-12-16","łódzkie"
"398",348,"2020-12-16","małopolskie"
"399",1322,"2020-12-16","mazowieckie"
"400",253,"2020-12-16","opolskie"
"401",291,"2020-12-16","podkarpackie"
"402",230,"2020-12-16","podlaskie"
"403",959,"2020-12-16","pomorskie"
"404",974,"2020-12-16","śląskie"
"405",233,"2020-12-16","świętokrzyskie"
"406",944,"2020-12-16","warmińsko-mazurskie"
"407",1567,"2020-12-16","wielkopolskie"
"408",1132,"2020-12-16","zachodniopomorskie"
"409",10992,"2020-12-17","Cały kraj"
"410",684,"2020-12-17","dolnośląskie"
"411",1055,"2020-12-17","kujawsko-pomorskie"
"412",540,"2020-12-17","lubelskie"
"413",427,"2020-12-17","lubuskie"
"414",659,"2020-12-17","łódzkie"
"415",409,"2020-12-17","małopolskie"
"416",1428,"2020-12-17","mazowieckie"
"417",250,"2020-12-17","opolskie"
"418",172,"2020-12-17","podkarpackie"
"419",265,"2020-12-17","podlaskie"
"420",954,"2020-12-17","pomorskie"
"421",924,"2020-12-17","śląskie"
"422",179,"2020-12-17","świętokrzyskie"
"423",838,"2020-12-17","warmińsko-mazurskie"
"424",1151,"2020-12-17","wielkopolskie"
"425",965,"2020-12-17","zachodniopomorskie"
"426",11261,"2020-12-18","Cały kraj"
"427",598,"2020-12-18","dolnośląskie"
"428",1124,"2020-12-18","kujawsko-pomorskie"
"429",655,"2020-12-18","lubelskie"
"430",406,"2020-12-18","lubuskie"
"431",767,"2020-12-18","łódzkie"
"432",397,"2020-12-18","małopolskie"
"433",1389,"2020-12-18","mazowieckie"
"434",223,"2020-12-18","opolskie"
"435",366,"2020-12-18","podkarpackie"
"436",341,"2020-12-18","podlaskie"
"437",1053,"2020-12-18","pomorskie"
"438",807,"2020-12-18","śląskie"
"439",162,"2020-12-18","świętokrzyskie"
"440",712,"2020-12-18","warmińsko-mazurskie"
"441",1203,"2020-12-18","wielkopolskie"
"442",970,"2020-12-18","zachodniopomorskie"
"443",8593,"2020-12-19","Cały kraj"
"444",486,"2020-12-19","dolnośląskie"
"445",793,"2020-12-19","kujawsko-pomorskie"
"446",303,"2020-12-19","lubelskie"
"447",319,"2020-12-19","lubuskie"
"448",449,"2020-12-19","łódzkie"
"449",311,"2020-12-19","małopolskie"
"450",1114,"2020-12-19","mazowieckie"
"451",177,"2020-12-19","opolskie"
"452",146,"2020-12-19","podkarpackie"
"453",180,"2020-12-19","podlaskie"
"454",824,"2020-12-19","pomorskie"
"455",700,"2020-12-19","śląskie"
